id,nuc,name,parent,total
VAGB,VAGB,Aussie Global Books.,,2
SAUS,SAUS,AusStage.,,172206
SAUS:ANDS,SAUS:ANDS,AusStage. Research Data via ANDS.,SAUS,1
VAUH,VAUH,Austin Health. Austin Health Library.,,23117
VAUH:IR,VAUH:IR,Austin Health. Austin Health Library. Digital Respository.,VAUH,17322
VAVSAJ,VAVSAJ,Australasian Journal of Victorian Studies .,,102
VPC,VPC,Australia Post. Australia Post: POSTlibrary & Knowledge Centre.,,1
12216,,Australian Academy of Science.,,20038
AAS,AAS,Australian Academy of Science. Basser Library.,12216,0
AAS:FA,AAS:FA,Australian Academy of Science. Fenner Archives.,12216,20038
12376,,Australian and New Zealand College of Anaesthetists.,,5631
VANAN:IR,VANAN:IR,Australian and New Zealand College of Anaesthetists. ANZCA Institutional Repository .,12376,599
VANAN,VANAN,Australian and New Zealand College of Anaesthetists. ANZCA Library.,12376,4678
VGKM,VGKM,Australian and New Zealand College of Anaesthetists. Geoffrey Kaye Museum of Anaesthetic History.,12376,354
12222,,Australian Broadcasting Corporation.,,442710
ABC:ARC,ABC:ARC,Australian Broadcasting Corporation. ABC Archive.,12222,0
9679,,Australian Broadcasting Corporation. ABC Brisbane Sound Library.,12222,0
ABC:PC,ABC:PC,Australian Broadcasting Corporation. ABC Pacific Collection.,12222,147
ABC:PL,ABC:PL,Australian Broadcasting Corporation. ABC Pool.,12222,0
ABC:RN,ABC:RN,Australian Broadcasting Corporation. ABC Radio National.,12222,441931
NABC,NABC,Australian Broadcasting Corporation. ABC Reference Library.,12222,0
ABC:FC,ABC:FC,Australian Broadcasting Corporation. ABC Television - Four Corners.,12222,632
XABC,XABC,Australian Broadcasting Corporation. Archive & Library Services - ABC Darwin.,12222,0
340397,,Australian Catholic University.,,2286
AACU:AC,AACU:AC,Australian Catholic University. ACU Art collection.,340397,1180
AACU:DC,AACU:DC,Australian Catholic University. ACU Research Bank.,340397,1016
NACU:E,NACU:E,Australian Catholic University. Australian Catholic University Library.,340397,1
AACU:ANDS,AACU:ANDS,Australian Catholic University. Research Data via ANDS.,340397,89
12870,,Australian Centre for the Moving Image.,,43042
VFM,VFM,Australian Centre for the Moving Image. Australian Centre for the Moving Image Collections.,12870,42992
VFM:ANDS,VFM:ANDS,Australian Centre for the Moving Image. Research Data via ANDS.,12870,50
12236,,Australian College of Applied Psychology.,,16793
NACAP,NACAP,Australian College of Applied Psychology. ACAP Library (Sydney).,12236,7378
QACAP,QACAP,Australian College of Applied Psychology. Brisbane Library.,12236,3083
VACAP,VACAP,Australian College of Applied Psychology. Melbourne Library.,12236,6332
QECN,QECN,Australian College of Natural Medicine Pty Ltd. Endeavour College of Natural Health Library.,,5959
NCN,NCN,Australian College of Nursing. Katie Zepps Nursing Library.,,3418
NACP,NACP,Australian College of Physical Education. Australian College of Physical Education Library.,,8006
AACOM,AACOM,Australian Competition and Consumer Commission. ACCC Library.,,2760
VER,VER,Australian Council for Educational Research. Cunningham Library (ACER).,,64613
NDA,NDA,Australian Dental Association - New South Wales Branch. Hardwick Memorial Library.,,2528
VEMA,VEMA,Australian Emergency Management Library.,,13405
12280,,Australian Federal Police.,,5148
AFP,AFP,Australian Federal Police. AFP Library.,12280,5148
NPSC,NPSC,Australian Federal Police. Australian Institute of Police Management Library.,12280,0
NFTS,NFTS,"Australian Film, Television and Radio School. Jerzy Toeplitz Library.",,21632
VAGHS,VAGHS,Australian Garden History Society.,,1
16594,,Australian Government Solicitor.,,1924
QAGTS,QAGTS,Australian Government Solicitor. Brisbane Library.,16594,0
AGTS,AGTS,Australian Government Solicitor. Canberra Library.,16594,0
AGTS:LO,AGTS:LO,Australian Government Solicitor. Legal Opinions.,16594,1924
VAGTS,VAGTS,Australian Government Solicitor. Melbourne Library.,16594,0
WAGTS,WAGTS,Australian Government Solicitor. Perth Library.,16594,0
NAGTS,NAGTS,Australian Government Solicitor. Sydney Library.,16594,0
AP,AP,"Australian Government | Department of Agriculture, Fisheries and Forestry. DAFF Library.",,11866
VAHRI,VAHRI,Australian Human Resources Institute.,,0
12297,,Australian Institute of Aboriginal and Torres Strait Islander Studies.,,355418
AIAS,AIAS,Australian Institute of Aboriginal and Torres Strait Islander Studies. AIATSIS Collections.,12297,355418
AIAS:P,AIAS:P,Australian Institute of Aboriginal and Torres Strait Islander Studies. AIATSIS Collections. Photographic Collections.,AIAS,230919
AIAS:AV,AIAS:AV,Australian Institute of Aboriginal and Torres Strait Islander Studies. Audiovisual Collections.,12297,0
AIC,AIC,Australian Institute of Criminology. JV Barry Library.,,29871
VIFS,VIFS,Australian Institute of Family Studies. AIFS Library.,,0
12302,,Australian Institute of Health and Welfare.,,327
AIH,AIH,Australian Institute of Health and Welfare. AIHW Library.,12302,310
AIH:ANDS,AIH:ANDS,Australian Institute of Health and Welfare. Research Data via ANDS.,12302,17
12307,,Australian Institute of Marine Science.,,9132
QIMS,QIMS,Australian Institute of Marine Science. Information Services.,12307,6830
QIMS:ANDS,QIMS:ANDS,Australian Institute of Marine Science. Research Data via ANDS.,12307,2302
NAIPE,NAIPE,Australian Institute of Professional Education.,,0
VJAZ,VJAZ,Australian Jazz Museum.,,1800
12319,,Australian Jewish Historical Society Inc.,,1552
NJHS,NJHS,Australian Jewish Historical Society Inc. Australian Jewish Historical Society Library.,12319,0
NJHS:J,NJHS:J,Australian Jewish Historical Society Inc. Australian Jewish Historical Society: AJHS Journal.,12319,1552
ANL:AJCP,ANL:AJCP,Australian Joint Copying Project.,,113185
SL,SL,Australian Lutheran College. Lohe Memorial Library.,,84001
12327,,Australian Museum.,,28559
NAMU:A,NAMU:A,Australian Museum. Australian Museum Archives.,12327,39
NAMU,NAMU,Australian Museum. Australian Museum Research Library.,12327,28470
NAMU:ANDS,NAMU:ANDS,Australian Museum. Research Data via ANDS.,12327,50
NAMC,NAMC,Australian Music Centre. Library & Information Services.,,25261
NAMO,NAMO,Australian Music Online.,,2170
AAUD,AAUD,Australian National Audit Office. Information Research Centre.,,1601
VANDS,VANDS,Australian National Data Service.,,113527
ANIC,ANIC,Australian National Islamic Library.,,11062
9924,,Australian National Maritime Museum.,,125673
NMMU:C,NMMU:C,Australian National Maritime Museum. Collection.,9924,106158
NMMU:ANDS,NMMU:ANDS,Australian National Maritime Museum. Research Data via ANDS.,9924,50
NMMU,NMMU,Australian National Maritime Museum. Vaughan Evans Library.,9924,19465
12332,,Australian National University.,,1415820
ANU:NB,ANU:NB,Australian National University. ANU Archives Program.,12332,3718
AIA,AIA,Australian National University. Art & Music Library.,12332,0
ANU:ADBO,ANU:ADBO,Australian National University. Australian Dictionary of Biography Online.,12332,13450
ANU,ANU,Australian National University. Australian National University Library.,12332,1362667
ANU:MS,ANU:MS,Australian National University. Australian National University Library. Astronomy Branch Library.,ANU,0
ANU:SS,ANU:SS,Australian National University. Australian National University Library. Astronomy Branch Library. Siding Springs.,ANU:MS,0
ANU:IR,ANU:IR,Australian National University. Australian National University Library. Australian National University: Institutional Repository.,ANU,261038
ANU:CB,ANU:CB,Australian National University. Australian National University Library. Chemistry Branch Library.,ANU,0
ANU:ES,ANU:ES,Australian National University. Australian National University Library. Earth Sciences Branch Library.,ANU,0
ANU:C,ANU:C,Australian National University. Australian National University Library. J.B. Chifley Library.,ANU,0
ANU:L,ANU:L,Australian National University. Australian National University Library. Law Library.,ANU,0
ANU:NP,ANU:NP,Australian National University. Australian National University Library. Nuclear Physics.,ANU,0
ANU:P,ANU:P,Australian National University. Australian National University Library. Print Repository.,ANU,5
ANU:M,ANU:M,Australian National University. Australian National University Library. R.G. Menzies Library.,ANU,0
ANU:MAP,ANU:MAP,Australian National University. Australian National University Library. R.G. Menzies Library. Asia Pacific Collection.,ANU:M,0
ANU:UA,ANU:UA,Australian National University. Australian National University Library. University Archives & Noel Butlin Archives Centre.,ANU,0
ANU:H,ANU:H,Australian National University. Australian National University Library. W.K. Hancock Library.,ANU,0
ANU:ON,ANU:ON,Australian National University. Australian National University Online.,12332,9
ANU:ANFD,ANU:ANFD,Australian National University. Australian Newspaper Fiction Database.,12332,21744
ANU:HITL,ANU:HITL,Australian National University. Heritage in the Limelight.,12332,5691
ANU:OA,ANU:OA,Australian National University. Obituaries Australia.,12332,8166
ANU:PMB,ANU:PMB,Australian National University. Pacific Manuscripts Bureau.,12332,0
ANU:PA,ANU:PA,Australian National University. People Australia.,12332,0
ANU:ANDS,ANU:ANDS,Australian National University. Research Data via ANDS.,12332,375
12333,,Australian Nuclear Science and Technology Organisation.,,191332
NLHR,NLHR,Australian Nuclear Science and Technology Organisation. ANSTO Library.,12333,190808
NLHR:ANDS,NLHR:ANDS,Australian Nuclear Science and Technology Organisation. Research Data via ANDS.,12333,524
12334,,Australian Nursing and Midwifery Federation.,,1846
VRNF,VRNF,Australian Nursing and Midwifery Federation. Federal Office.,12334,0
SANF,SANF,Australian Nursing and Midwifery Federation. SA Branch Library.,12334,0
TANMF,TANMF,Australian Nursing and Midwifery Federation. Tasmanian Branch Library.,12334,0
THERC,THERC,Australian Nursing and Midwifery Federation. Tasmanian Branch Library. Tasmania HERC Info Centre.,TANMF,0
VANF,VANF,Australian Nursing and Midwifery Federation. Victorian Branch Library.,12334,1846
800,,Australian Nursing and Midwifery Federation. Western Australia Branch Library.,12334,0
TAODN:ANDS,TAODN:ANDS,Australian Ocean Data Network.,,11691
336657,,Australian Paralympic Committee.,,4228
APC:WB,APC:WB,Australian Paralympic Committee. Australian Paralympic History Project.,336657,792
APC:WC,APC:WC,Australian Paralympic Committee. Images on Wikimedia Commons.,336657,3436
APORK,APORK,Australian Pork.,,177
VRL,VRL,Australian Radiation Protection and Nuclear Safety Agency. ARPANSA Library Services.,,7298
VRCS,VRCS,Australian Red Cross. Research and Information Service.,,0
AAIS,AAIS,Australian Sports Commission. National Sport Information Centre.,,23557
AATO,AATO,Australian Taxation Office. Library & Research Hub.,,5466
NATR,NATR,Australian Trade and Investment Commission. Austrade Research & Information Centre.,,1
9927,,Australian War Memorial.,,354545
AAWM,AAWM,Australian War Memorial. Research Centre.,9927,354201
AAWM:ANDS,AAWM:ANDS,Australian War Memorial. Research Data via ANDS.,9927,344
SAWR,SAWR,Australian Wine Research Institute. The John Fornachon Memorial Library.,,414
NAR,NAR,Austroads.,,1672
12385,,Avondale University.,,137886
NAVC,NAVC,Avondale University. Avondale Lake Macquarie Library.,12385,116849
NSAH,NSAH,Avondale University. Avondale Sydney Library.,12385,21037
VBLM,VBLM,B-24 Liberator Memorial Restoration Australia Inc.,,152
VBMH,VBMH,"Bacchus Marsh & District Historical Society. Bacchus Marsh & District Historical Society Library, Archives.",,1
VBAIRN,VBAIRN,Bairnsdale RSL Sub Branch.,,5
12416,,Ballarat Health Services.,,6415
VBBH,VBBH,Ballarat Health Services. Ballarat Health Services Library.,12416,4953
VBBH:HA,VBBH:HA,Ballarat Health Services. Ballarat Health Services Library. Ballarat Health Services Historical Archive.,VBBH,0
VBTNL,VBTNL,Ballarat Health Services. Trained Nurses League.,12416,1462
VBAH,VBAH,Ballarat Heritage Services.,,4251
VUB,VUB,Ballarat Regional Trades and Labour Council Inc..,,751
QBAN,QBAN,Banana Shire Library & Information Service.,,0
8738,,Banana Shire Library & Information Service. Biloela Library.,QBAN,0
8736,,Banana Shire Library & Information Service. Mobile Library.,QBAN,0
8737,,Banana Shire Library & Information Service. Moura Library.,QBAN,0
3763,,Banana Shire Library & Information Service. Taroom Library.,QBAN,0
8735,,Banana Shire Library & Information Service. Theodore Library.,QBAN,0
VU:W,VU:W,Baptist Theological College of Victoria. Whitley College Library.,,30107
QBRCL,QBRCL,Barcaldine Regional Council. Barcaldine Shire Council Library.,,0
XTCP,XTCP,Barkly Regional Council. Tennant Creek Public Library.,,75523
VGH,VGH,Barwon Health. Barwon Health Library Service.,,43622
WBBAL,WBBAL,Baseball WA.,,470
XBATCH,XBATCH,Batchelor Institute of Indigenous Tertiary Education.,,120328
XBATCH:B,XBATCH:B,Batchelor Institute of Indigenous Tertiary Education. Batchelor Joint Use Library.,XBATCH,24103
XBATCH:AS,XBATCH:AS,Batchelor Institute of Indigenous Tertiary Education. Central Australian Campus Library.,XBATCH,9021
NBCL,NBCL,Bathurst Regional Council. Bathurst Library.,,50681
VBAY,VBAY,Bayside Library Service. Bayside Library Service.,,197582
8878,,Bayside Library Service. Bayside Library Service. Beaumaris Library.,VBAY,0
106317,,Bayside Library Service. Bayside Library Service. Brighton Library.,VBAY,0
8880,,Bayside Library Service. Bayside Library Service. Hampton Library.,VBAY,0
8882,,Bayside Library Service. Bayside Library Service. Sandringham Library.,VBAY,0
NRML,NRML,Bayside Library.,,23766
5731,,Bayside Library. Arncliffe Branch Library.,NRML,0
5732,,Bayside Library. Bexley Branch Library.,NRML,0
5733,,Bayside Library. Bexley North Branch Library.,NRML,0
5730,,Bayside Library. Brighton-Le-Sands Branch Library.,NRML,0
1659,,Bayside Library. Mascot Library (incl. the George Hanna Memorial Museum).,NRML,0
324937,,Bayside Library. Rockdale Branch Library.,NRML,0
324957,,Bayside Library. Sans Souci Branch Library.,NRML,0
VBHC,VBHC,Beaconhills College.,,0
TBMHC,TBMHC,Beaconsfield Mine and Heritage Centre.,,5622
NBPM,NBPM,Bega Pioneers' Museum.,,47
NBEV,NBEV,Bega Valley Shire Council Library Services. Bega Library.,,39290
VBA,VBA,Bendigo Art Gallery. Bendigo Art Gallery Library.,,4405
VBEN,VBEN,Bendigo Healthcare Group. Regional Library.,,3195
VBT,VBT,Bendigo Kangan Institute. Bendigo Kangan Institute Libraries.,,12505
VBTH,VBTH,Bendigo Trades Hall Council & Literary Institute Inc.,,116
SBLIC,SBLIC,Berri Barmera Libraries.,,32412
3866,,Berri Barmera Libraries. Barmera Library.,SBLIC,0
NBRN,NBRN,Berrigan Shire Library Service. Berrigan Library.,,21674
5769,,Berrigan Shire Library Service. Berrigan Library. Barooga Library.,NBRN,0
5770,,Berrigan Shire Library Service. Berrigan Library. Finley Library.,NBRN,0
5768,,Berrigan Shire Library Service. Berrigan Library. Tocumwal Library.,NBRN,0
NBDHS,NBDHS,Berrima District Historical & Family History Society.,,5062
VBER,VBER,Berry Street.,,0
VBMI,VBMI,Berwick Mechanics' Institute and Free Library Inc. Berwick Mechanics' Institute and Free Library.,,4984
VBC,VBC,Bialik College. Bialik College Library.,,48192
NORL,NORL,Big Sky Libraries.,,20806
6451,,Big Sky Libraries. Brewarrina Library.,NORL,0
6455,,Big Sky Libraries. Lightning Ridge Library.,NORL,0
330877,,Big Sky Libraries. Moree Library.,NORL,0
6452,,Big Sky Libraries. Mungindi Library.,NORL,0
6453,,Big Sky Libraries. Walgett Library.,NORL,0
AB,AB,Blackfriars Priory. Canberra Catholic Library.,,2
VBCF,VBCF,Blacksmith's Cottage & Forge.,,112
VBMHC,VBMHC,Blacksmith's Cottage & Forge. The Forge Bookbarn.,VBCF,0
12521,,Blacktown City Council Libraries.,,102708
NBLML,NBLML,Blacktown City Council Libraries. Blacktown City Libraries.,12521,89772
5689,,Blacktown City Council Libraries. Blacktown City Libraries. Lalor Park Library.,NBLML,0
4792,,Blacktown City Council Libraries. Blacktown City Libraries. Mt Druitt Library.,NBLML,0
5688,,Blacktown City Council Libraries. Blacktown City Libraries. Riverstone Library.,NBLML,0
NBLML:BM,NBLML:BM,Blacktown City Council Libraries. Blacktown Memories.,12521,12936
NBMC,NBMC,Blue Mountains City Council. Blue Mountains Library.,,4621
NBMIHMS,NBMIHMS,Blue Mountains International Hotel Management School.,,0
VALP,VALP,Bolinda Publishing. Bolinda Publishing Library.,,358
VRDN,VRDN,Bolton Clarke Library Services.,,202
12539,,Bond University.,,99102
QBON,QBON,Bond University. John and Alison Kearney Library .,12539,99030
QBON:IR,QBON:IR,Bond University. John and Alison Kearney Library . Bond University Library: Institutional Repository.,QBON,9875
QBON:L,QBON:L,Bond University. John and Alison Kearney Library . John and Alison Kearney Law Library.,QBON,7534
QBON:ANDS,QBON:ANDS,Bond University. Research Data via ANDS.,12539,72
SBOT,SBOT,Botanic Gardens of Adelaide and State Herbarium. Botanic Gardens and State Herbarium Library.,,5697
NBPU,NBPU,Bourke Public Library.,,1369
VBHE,VBHE,Box Hill Institute. Box Hill Institute Library.,,30192
VBHSSC,VBHSSC,Box Hill Senior Secondary College Library.,,3711
QBPHS,QBPHS,Bray Park State High School.,,0
VBGS,VBGS,Brighton Grammar School.,,0
VBRI,VBRI,Brighton Historical Society.,,208
VBRIM,VBRIM,Brimbank Libraries.,,39530
3887,,Brimbank Libraries. Deer Park Library.,VBRIM,0
7747,,Brimbank Libraries. Keilor Village Library.,VBRIM,0
7746,,Brimbank Libraries. St Albans Library.,VBRIM,0
325477,,Brimbank Libraries. Sydenham Library .,VBRIM,0
QBBC,QBBC,Brisbane Boys' College. BBC Library.,,0
QBCL,QBCL,Brisbane City Council Library Service.,,231360
9399,,Brisbane City Council Library Service. Annerley Library.,QBCL,0
9397,,Brisbane City Council Library Service. Ashgrove Library.,QBCL,0
9400,,Brisbane City Council Library Service. Banyo Library.,QBCL,0
9401,,Brisbane City Council Library Service. Bracken Ridge Library.,QBCL,0
QBCL:BI,QBCL:BI,Brisbane City Council Library Service. Brisbane Images.,QBCL,13572
9404,,Brisbane City Council Library Service. Brisbane Square Library.,QBCL,0
9402,,Brisbane City Council Library Service. Bulimba Library.,QBCL,0
9403,,Brisbane City Council Library Service. Carina Library.,QBCL,0
6033,,Brisbane City Council Library Service. Carindale Library.,QBCL,0
3904,,Brisbane City Council Library Service. Chermside Library.,QBCL,0
3906,,Brisbane City Council Library Service. Coopers Plains Library.,QBCL,0
3907,,Brisbane City Council Library Service. Corinda Library.,QBCL,0
3908,,Brisbane City Council Library Service. Everton Park Library.,QBCL,0
3909,,Brisbane City Council Library Service. Fairfield Library.,QBCL,0
3913,,Brisbane City Council Library Service. Garden City Library.,QBCL,0
3916,,Brisbane City Council Library Service. Grange Library.,QBCL,0
3917,,Brisbane City Council Library Service. Hamilton Library.,QBCL,0
9357,,Brisbane City Council Library Service. Holland Park Library.,QBCL,0
9383,,Brisbane City Council Library Service. Inala Library.,QBCL,0
9384,,Brisbane City Council Library Service. Indooroopilly Library.,QBCL,0
329577,,Brisbane City Council Library Service. Kenmore Library.,QBCL,0
9385,,Brisbane City Council Library Service. Mitchelton Library.,QBCL,0
9386,,Brisbane City Council Library Service. Mount Coot-tha Botanic Gardens Library.,QBCL,0
9388,,Brisbane City Council Library Service. Mount Gravatt Library.,QBCL,0
9387,,Brisbane City Council Library Service. Mount Ommaney Library.,QBCL,0
9389,,Brisbane City Council Library Service. New Farm Library.,QBCL,0
9390,,Brisbane City Council Library Service. Nundah Library.,QBCL,0
9391,,Brisbane City Council Library Service. Sandgate Library.,QBCL,0
9392,,Brisbane City Council Library Service. Stones Corner Library.,QBCL,0
9393,,Brisbane City Council Library Service. Sunnybank Hills Library.,QBCL,0
9394,,Brisbane City Council Library Service. Toowong Library.,QBCL,0
9395,,Brisbane City Council Library Service. West End Library.,QBCL,0
9396,,Brisbane City Council Library Service. Wynnum Library.,QBCL,0
9398,,Brisbane City Council Library Service. Zillmere Library.,QBCL,0
QBGG,QBGG,Brisbane Girls Grammar School. The Beanland Memorial Library.,,0
QBGS,QBGS,Brisbane Grammar School. Brisbane Grammar School Library.,,0
VBUL,VBUL,Buloke Library Service.,,11514
QBUN,QBUN,Bundaberg Regional Council. Bundaberg Regional Libraries. Bundaberg Library.,,0
12627,,Bureau of Meteorology.,,29836
1436,,Bureau of Meteorology. ACT Met Office Library.,12627,0
9748,,Bureau of Meteorology. NSW Regional Office Library.,12627,0
VCMB,VCMB,Bureau of Meteorology. National Meteorological Library.,12627,29802
9752,,Bureau of Meteorology. Northern Territory Regional Office Library.,12627,0
9749,,Bureau of Meteorology. Queensland Regional Office Library.,12627,0
VCMB:ANDS,VCMB:ANDS,Bureau of Meteorology. Research Data via ANDS.,12627,34
9753,,Bureau of Meteorology. South Australian Regional Office Library.,12627,0
9750,,Bureau of Meteorology. Tasmania and Antarctica Regional Office Library.,12627,0
9751,,Bureau of Meteorology. Western Australia Regional Office Library.,12627,0
SB,SB,Burleigh College. Burleigh Collection at Tabor Adelaide Library.,,1
NBL,NBL,Burwood Council. Burwood Library and Community Hub.,,80348
WBHS,WBHS,Busselton Historical Society.,,359
QRH:C,QRH:C,Caboolture Hospital Library.,,748
QCCL,QCCL,Cairns Regional Council: Cairns Libraries.,,83224
9301,,Cairns Regional Council: Cairns Libraries. Babinda Library.,QCCL,0
11833,,Cairns Regional Council: Cairns Libraries. City Library.,QCCL,0
9306,,Cairns Regional Council: Cairns Libraries. Earlville Library.,QCCL,0
9295,,Cairns Regional Council: Cairns Libraries. Edmonton Library.,QCCL,0
9302,,Cairns Regional Council: Cairns Libraries. Gordonvale Library.,QCCL,0
9303,,Cairns Regional Council: Cairns Libraries. Manunda Library.,QCCL,0
9304,,Cairns Regional Council: Cairns Libraries. Smithfield Library.,QCCL,0
9305,,Cairns Regional Council: Cairns Libraries. Stratford Library.,QCCL,0
QCCC,QCCC,Calamvale Community College.,,0
QCSHS,QCSHS,Caloundra State High School.,,0
NCG,NCG,Calyx Group. Calyx Group Library.,,1
VCGG,VCGG,Camberwell Girls Grammar School.,,29
NCAM,NCAM,Camden Council. Camden Council Library Service.,,75135
8106,,Camden Council. Camden Council Library Service. Narellan Library.,NCAM,0
VECA,VECA,Campaspe Regional Library. Echuca Library.,,88878
NCCPL,NCCPL,Campbelltown City Council (NSW). Campbelltown City Library.,,38268
55041,,Campbelltown City Council (NSW). Campbelltown City Library. Eagle Vale Library.,NCCPL,0
1769,,Campbelltown City Council (NSW). Campbelltown City Library. Glenquarie Library.,NCCPL,0
1780,,Campbelltown City Council (NSW). Campbelltown City Library. Greg Percival Library.,NCCPL,0
NCCPL:P,NCCPL:P,Campbelltown City Council (NSW). Campbelltown City Library. Photographs.,NCCPL,10569
SCPL,SCPL,Campbelltown City Council (SA). Campbelltown Public Library.,,73992
ACDHS,ACDHS,Canberra and District Historical Society.,,10356
ACGGS,ACGGS,Canberra Grammar School. Canberra Grammar School Library.,,1
AWVH,AWVH,Canberra Health Services Library.,,2224
ACIT,ACIT,Canberra Institute of Technology. Reid Library.,,42798
WCC,WCC,Canning College. Canning College Library.,,1
NBANK,NBANK,Canterbury Bankstown Council. Canterbury Bankstown Library Service.,,13480
4779,,Canterbury Bankstown Council. Canterbury Bankstown Library Service. Chester Hill Library.,NBANK,0
9637,,Canterbury Bankstown Council. Canterbury Bankstown Library Service. Earlwood Library.,NBANK,0
4781,,Canterbury Bankstown Council. Canterbury Bankstown Library Service. Greenacre Library.,NBANK,0
8037,,Canterbury Bankstown Council. Canterbury Bankstown Library Service. Lakemba Library.,NBANK,0
4784,,Canterbury Bankstown Council. Canterbury Bankstown Library Service. Padstow Library.,NBANK,0
5592,,Canterbury Bankstown Council. Canterbury Bankstown Library Service. Panania Library.,NBANK,0
8039,,Canterbury Bankstown Council. Canterbury Bankstown Library Service. Riverwood Library.,NBANK,0
VCCH,VCCH,Caritas Christi Hospice. Caritas Christi Hospice Library.,,170
QCARM,QCARM,Carmel College.,,0
12744,,Carnamah City Council Libraries.,,0
WCAR,WCAR,Carnamah City Council Libraries. Carnamah Library.,12744,0
WENE,WENE,Carnamah City Council Libraries. Eneabba Library.,12744,0
WCAV,WCAV,Carnarvon Shire Council. Carnarvon Public Library.,,1
VCIE,VCIE,Carrick Institute of Education.,,0
NCART,NCART,Cartonographer.,,627
VCCLC,VCCLC,Casey - Cardinia Library Corporation. Cranbourne Library.,,132281
QJST,QJST,Cassowary Coast Libraries. Innisfail Library.,,0
NCIS,NCIS,Catholic Institute of Sydney. Veech Library.,,85090
VCCC,VCCC,Catholic Theological College. Mannix Library.,,74900
12639,,CAVAL.,,594437
VCARM,VCARM,CAVAL. CARM Centre.,12639,594435
VCAV,VCAV,CAVAL. CAVAL Ltd.,12639,2
NCENE,NCENE,Cengage Education.,,0
NGCL,NGCL,Central Coast Library Service.,,86802
7315,,Central Coast Library Service. Bateau Bay Library.,NGCL,0
494,,Central Coast Library Service. Bookmobile.,NGCL,0
69038,,Central Coast Library Service. Erina Library.,NGCL,0
69040,,Central Coast Library Service. Kariong Library.,NGCL,0
69039,,Central Coast Library Service. Kincumber Library.,NGCL,0
7138,,Central Coast Library Service. Lake Haven Library & Council Services.,NGCL,0
7143,,Central Coast Library Service. The Entrance Library & Council Services.,NGCL,0
7142,,Central Coast Library Service. Toukley Library.,NGCL,0
7139,,Central Coast Library Service. Tuggerah Library.,NGCL,0
496,,Central Coast Library Service. Umina Library.,NGCL,0
